Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,RT_mean,RT_ACC,NoRespFreq,CleanFreq,CBDA_Ind_c1A_fdr0545,CBDA_Ind_c2O_fdr0545,CBDA_Ind_c3E_fdr0545
16-11-26.3CBDHC,10,1,10.68,11,CBDC,CBDHC,43.6477,-32.4227,40.7006,7.9202,-42.8321,53.566,723.5,689.7286,706.8125,719.0893,792,719.3571,745,740.7738,0.75,0.75,1,0.9375,1,0.9375,0.6875,0.8125,0.85938,730.9734778,848.9057955,0.098958,0.125,1.70E-01,2.44E-01,-2.11E-01
16-11-26.3CBDPC,142,1,11.44,11,CBDC,CBDPC,-72.9897,81.7282,80.0817,108.1677,203.514,433.256,672,783.7857,716.8333,681.9286,745.05,837.6667,827.5833,747,0.5625,0.75,0.8125,0.8125,0.5625,0.625,0.6875,0.375,0.64844,749.7330667,1158.905913,0.29167,0.3375,2.21E-01,3.48E-01,8.80E-01
16-11-26.4CBDPC,143,2,8.96,9,CBDC,CBDPC,35.2955,38.8436,50.2812,66.6515,8.7034,76.2016,656.4375,650.3125,640.625,585.75,736.4167,685.5893,655.625,683.1875,1,1,1,0.9375,0.875,0.9375,1,1,0.96875,663.6603889,683.0894839,0.041667,0.04375,3.29E-01,-7.33E-02,-1.67E-01
16-11-27.2CBDPC,147,1,10.37,10,CBDC,CBDPC,56.5678,51.0489,66.7088,122.8436,88.7651,166.5162,653.2321,536.2232,580.0625,566.4375,643.9857,697.2143,635.7946,600.3452,0.9375,0.9375,1,1,0.75,0.875,0.9375,0.8125,0.90625,613.2550111,677.6958759,0.083333,0.096875,-1.35E-01,-3.22E-01,2.88E-01
16-12-04.2CBDHC,12,2,10.36,10,CBDC,CBDHC,25.6348,43.2636,72.5756,45.5224,30.4952,128.1082,703.9554,667.1875,686.125,644.8125,792.9286,750.1607,709,742.7768,0.9375,1,0.9375,1,0.875,0.9375,0.875,0.9375,0.9375,715.4107222,759.5928667,0.052083,0.05625,2.42E-01,1.60E-01,3.77E-01
16-12-10.1CBDHC,14,1,10.42,10,CBDC,CBDHC,68.3371,11.749,54.7942,85.8759,69.9016,80.041,660.125,573.3482,543.5,588.5536,680.375,651.369,636.2946,619.25,1,0.9375,1,0.9375,1,0.8125,0.9375,1,0.95313,618.1183778,649.5461532,0.03125,0.053125,4.07E-01,6.11E-01,1.52E-01
16-12-11.3CBDPC,154,2,7.87,8,CBDC,CBDPC,21.3296,-25.55,81.3163,2.4785,18.343,118.4322,734.6429,659.6667,638.2946,639.1042,751.8571,743.2083,747.2714,802.4375,0.875,0.75,0.9375,0.875,0.875,0.875,0.75,0.875,0.85156,726.8869667,839.1191901,0.072917,0.15,-6.24E-02,1.44E-01,-3.72E-01
16-12-11.4CBDPC,228,1,8.51,9,CBDC,CBDPC,78.0443,6.573,69.8175,49.2743,-20.9566,378.7057,727.5357,719.4048,658.5,578.2381,779.5833,718.6667,702.75,781.6833,0.6875,0.8125,0.75,0.625,0.5625,0.375,0.625,0.6875,0.64063,717.7068778,1105.622961,0.22917,0.34687,-8.00E-03,-1.39E-01,-9.12E-03
16-12-24.1CBDHC,16,2,10.41,10,CBDC,CBDHC,53.2969,27.0593,25.3184,165.0357,63.7405,161.8157,700.5238,732.4167,673.0089,720.0238,767.0571,706.3833,682.5667,746.4429,0.8125,0.75,0.9375,0.8125,0.75,0.6875,0.6875,0.75,0.77344,721.7136889,925.8027772,0.10938,0.20937,3.05E-01,5.03E-01,-4.24E-01
16-12-24.2CBDPC,160,2,7.47,7,CBDC,CBDPC,57.627,43.5744,32.8444,101.8283,-273.7538,328.5403,822.1429,752.9524,736.2857,701.1286,796.3,803.4464,747.4167,804.2,0.875,0.8125,0.875,0.75,0.75,0.6875,0.6875,0.4375,0.73438,773.8747444,1049.162678,0.27604,0.275,-1.56E-01,1.22E-02,4.02E-02
16-12-24.3CBDHC,18,1,10.82,11,CBDC,CBDHC,62.8592,27.1265,47.5836,55.0287,77.7755,134.3509,689.2679,668.8304,623.3571,552.8125,725.5833,636.1571,639.2143,712.6458,0.9375,0.9375,0.875,1,0.875,0.75,0.875,0.875,0.89063,662.1798222,736.5387984,0.052083,0.10625,1.51E-01,1.92E-01,-4.28E-01
